排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
34,Divinity: Original Sin 2 - Definitive Edition,53.00,"好评如潮,114,906 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_globaltopsellers_150_2
35,F1? 2021,161.20,"特别好评,8,825 篇用户的游戏评测中有 83% 为好评。",https://store.steampowered.com/app/1134570/F1_2021/?snr=1_7_7_globaltopsellers_150_2
36,New World, 149.00,"多半好评,137,013 篇用户的游戏评测中有 75% 为好评。",https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_globaltopsellers_150_2
37,双人成行,148.50,"好评如潮,41,496 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/1426210/_/?snr=1_7_7_globaltopsellers_150_2
38,BeamNG.drive,64.00,"好评如潮,84,823 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_globaltopsellers_150_2
39,Ori and the Will of the Wisps,29.70,"好评如潮,68,296 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?snr=1_7_7_globaltopsellers_150_2
40,饥荒联机版,12.00,"好评如潮,187,874 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/322330/_/?snr=1_7_7_globaltopsellers_150_2
41,饥荒联机版,12.00,"好评如潮,187,874 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/322330/_/?snr=1_7_7_globaltopsellers_150_2
42,Hunt: Showdown,74.50,"特别好评,81,940 篇用户的游戏评测中有 83% 为好评。",https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_globaltopsellers_150_2
43,Stellaris: Ultimate Bundle,374.85,"特别好评,91,021 篇用户的捆绑包游戏评测中有 84% 为好评。",https://store.steampowered.com/bundle/21037/Stellaris_Ultimate_Bundle/?snr=1_7_7_globaltopsellers_150_2
44,Friday the 13th: The Game,12.00,"多半好评,51,383 篇用户的游戏评测中有 78% 为好评。",https://store.steampowered.com/app/438740/Friday_the_13th_The_Game/?snr=1_7_7_globaltopsellers_150_2
45,Sid Meier’s Civilization? VI Anthology,193.83,"特别好评,139,348 篇用户的捆绑包游戏评测中有 80% 为好评。",https://store.steampowered.com/bundle/21432/Sid_Meiers_Civilization_VI_Anthology/?snr=1_7_7_globaltopsellers_150_2
46,人间地狱,111.75,"特别好评,34,330 篇用户的游戏评测中有 85% 为好评。",https://store.steampowered.com/app/686810/_/?snr=1_7_7_globaltopsellers_150_2
47,ARK: Ultimate Survivor Edition,155.46,"特别好评,388,931 篇用户的捆绑包游戏评测中有 81% 为好评。",https://store.steampowered.com/bundle/21105/ARK_Ultimate_Survivor_Edition/?snr=1_7_7_globaltopsellers_150_2
48,战地风云? 2042, 248.00,暂无评价！,https://store.steampowered.com/app/1517290/_2042/?snr=1_7_7_globaltopsellers_150_2
49,The Jackbox Party Pack 8, 90.00,"特别好评,195 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/1552350/The_Jackbox_Party_Pack_8/?snr=1_7_7_globaltopsellers_150_2
50,Left 4 Dead 2,7.40,"好评如潮,387,072 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_globaltopsellers_150_2
51,No Man's Sky,78.00,"多半好评,168,349 篇用户的游戏评测中有 71% 为好评。",https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_globaltopsellers_150_3
52,Valheim: 英灵神殿,63.00,"好评如潮,241,133 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_globaltopsellers_150_3
53,Rise of the Tomb Raider?,32.00,"特别好评,83,833 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/?snr=1_7_7_globaltopsellers_150_3
