排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
140,零 ～濡鸦之巫女～, 249.00,"褒贬不一,1,383 篇用户的游戏评测中有 55% 为好评。",https://store.steampowered.com/app/1732190/_/?snr=1_7_7_globaltopsellers_150_6
141,Overcooked! 2,33.32,"特别好评,23,432 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_globaltopsellers_150_6
142,SCUM,77.00,"多半好评,52,576 篇用户的游戏评测中有 73% 为好评。",https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_globaltopsellers_150_6
143,BIGFOOT,67.99,"多半好评,7,907 篇用户的游戏评测中有 78% 为好评。",https://store.steampowered.com/app/509980/BIGFOOT/?snr=1_7_7_globaltopsellers_150_6
144,Escape Simulator, 50.00,"特别好评,413 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/1435790/Escape_Simulator/?snr=1_7_7_globaltopsellers_150_6
145,Voice of Cards: The Isle Dragon Roars, 198.00,"特别好评,107 篇用户的游戏评测中有 84% 为好评。",https://store.steampowered.com/app/1113570/Voice_of_Cards_The_Isle_Dragon_Roars/?snr=1_7_7_globaltopsellers_150_6
146,Timberborn, 80.00,"好评如潮,5,022 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/1062090/Timberborn/?snr=1_7_7_globaltopsellers_150_6
147,Cities: Skylines Collection,402.66,"特别好评,135,605 篇用户的捆绑包游戏评测中有 92% 为好评。",https://store.steampowered.com/bundle/2202/Cities_Skylines_Collection/?snr=1_7_7_globaltopsellers_150_6
148,Darkest Dungeon?,15.60,"特别好评,89,201 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_globaltopsellers_150_6
149,Euro Truck Simulator 2 Map Booster,106.58,"特别好评,13,673 篇用户的捆绑包游戏评测中有 93% 为好评。",https://store.steampowered.com/bundle/5555/Euro_Truck_Simulator_2_Map_Booster/?snr=1_7_7_globaltopsellers_150_6
150,STAR WARS?: The Old Republic?——卡特尔金币, 23.00,暂无评价！,https://store.steampowered.com/app/1303605/STAR_WARS_The_Old_Republic/?snr=1_7_7_globaltopsellers_150_6
151,STAR WARS?: The Old Republic?——卡特尔金币, 23.00,暂无评价！,https://store.steampowered.com/app/1303605/STAR_WARS_The_Old_Republic/?snr=1_7_7_globaltopsellers_150_7
152,STAR WARS?: The Old Republic?——卡特尔金币, 23.00,暂无评价！,https://store.steampowered.com/app/1303605/STAR_WARS_The_Old_Republic/?snr=1_7_7_globaltopsellers_150_7
153,STAR WARS?: The Old Republic?——卡特尔金币, 23.00,暂无评价！,https://store.steampowered.com/app/1303605/STAR_WARS_The_Old_Republic/?snr=1_7_7_globaltopsellers_150_7
154,STAR WARS?: The Old Republic?——卡特尔金币, 23.00,暂无评价！,https://store.steampowered.com/app/1303605/STAR_WARS_The_Old_Republic/?snr=1_7_7_globaltopsellers_150_7
155,STAR WARS?: The Old Republic?——卡特尔金币, 23.00,暂无评价！,https://store.steampowered.com/app/1303605/STAR_WARS_The_Old_Republic/?snr=1_7_7_globaltopsellers_150_7
156,中世纪王朝,111.20,"特别好评,17,346 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/1129580/_/?snr=1_7_7_globaltopsellers_150_7
157,Deep Rock Galactic, 90.00,"好评如潮,79,845 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_globaltopsellers_150_7
158,战地风云? 2042, 248.00,暂无评价！,https://store.steampowered.com/app/1517290/_2042/?snr=1_7_7_globaltopsellers_150_7
159,Halo: The Master Chief Collection, 116.00,"特别好评,168,567 篇用户的捆绑包游戏评测中有 91% 为好评。",https://store.steampowered.com/sub/376282/?snr=1_7_7_globaltopsellers_150_7
160,Expansion - Hearts of Iron IV: No Step Back, 70.00,暂无评价！,https://store.steampowered.com/app/1348661/Expansion__Hearts_of_Iron_IV_No_Step_Back/?snr=1_7_7_globaltopsellers_150_7
161,Aliens: Fireteam Elite,126.40,"特别好评,9,461 篇用户的游戏评测中有 84% 为好评。",https://store.steampowered.com/app/1549970/Aliens_Fireteam_Elite/?snr=1_7_7_globaltopsellers_150_7
162,胡闹厨房 全都好吃,78.00,"褒贬不一,589 篇用户的游戏评测中有 58% 为好评。",https://store.steampowered.com/app/1243830/_/?snr=1_7_7_globaltopsellers_150_7
163,动物园之星,63.00,"特别好评,40,763 篇用户的游戏评测中有 89% 为好评。",https://store.steampowered.com/app/703080/_/?snr=1_7_7_globaltopsellers_150_7
164,Pathfinder: Wrath of the Righteous, 188.00,"特别好评,9,202 篇用户的游戏评测中有 81% 为好评。",https://store.steampowered.com/app/1184370/Pathfinder_Wrath_of_the_Righteous/?snr=1_7_7_globaltopsellers_150_7
165,Don't Starve MEGA PACK 2021,35.22,"好评如潮,269,698 篇用户的捆绑包游戏评测中有 96% 为好评。",https://store.steampowered.com/bundle/22495/Dont_Starve_MEGA_PACK_2021/?snr=1_7_7_globaltopsellers_150_7
166,Monster Hunter World: Iceborne,168.02,"褒贬不一,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_globaltopsellers_150_7
167,Hunt: Showdown - Collector's Edition,317.97,"特别好评,85,031 篇用户的捆绑包游戏评测中有 83% 为好评。",https://store.steampowered.com/bundle/12841/Hunt_Showdown__Collectors_Edition/?snr=1_7_7_globaltopsellers_150_7
168,Resident Evil 2,87.60,"好评如潮,63,423 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/883710/Resident_Evil_2/?snr=1_7_7_globaltopsellers_150_7
169,Middle-earth: Shadow of War Definitive Edition,32.60,"特别好评,52,524 篇用户的捆绑包游戏评测中有 85% 为好评。",https://store.steampowered.com/sub/281112/?snr=1_7_7_globaltopsellers_150_7
170,Conan Exiles,51.60,"多半好评,50,209 篇用户的游戏评测中有 78% 为好评。",https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_globaltopsellers_150_7
171,Resident Evil 3,136.62,"多半好评,32,823 篇用户的游戏评测中有 77% 为好评。",https://store.steampowered.com/app/952060/Resident_Evil_3/?snr=1_7_7_globaltopsellers_150_7
172,XCOM: Ultimate Collection,68.62,"特别好评,106,655 篇用户的捆绑包游戏评测中有 84% 为好评。",https://store.steampowered.com/bundle/20109/XCOM_Ultimate_Collection/?snr=1_7_7_globaltopsellers_150_7
173,Hearts of Iron IV: Ultimate Bundle,244.61,"特别好评,118,866 篇用户的捆绑包游戏评测中有 89% 为好评。",https://store.steampowered.com/bundle/22460/Hearts_of_Iron_IV_Ultimate_Bundle/?snr=1_7_7_globaltopsellers_150_7
174,Tomb Raider GOTY,22.10,"好评如潮,123,357 篇用户的捆绑包游戏评测中有 95% 为好评。",https://store.steampowered.com/bundle/15037/Tomb_Raider_GOTY/?snr=1_7_7_globaltopsellers_150_7
175,Stellaris: Starter Pack,119.70,"特别好评,85,179 篇用户的捆绑包游戏评测中有 86% 为好评。",https://store.steampowered.com/bundle/7611/Stellaris_Starter_Pack/?snr=1_7_7_globaltopsellers_150_7
176,Cities: Skylines,22.00,"特别好评,129,057 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_globaltopsellers_150_8
177,The Sims? 4,49.50,"特别好评,29,109 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_globaltopsellers_150_8
178,Monster Hunter World: Iceborne Master Edition Digital Deluxe,287.87,"特别好评,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/bundle/13014/Monster_Hunter_World_Iceborne_Master_Edition_Digital_Deluxe/?snr=1_7_7_globaltopsellers_150_8
179,PICO PARK,17.60,"特别好评,5,668 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/1509960/PICO_PARK/?snr=1_7_7_globaltopsellers_150_8
180,theHunter: Call of the Wild?- Complete Collection,196.91,"特别好评,81,847 篇用户的捆绑包游戏评测中有 84% 为好评。",https://store.steampowered.com/bundle/13254/theHunter_Call_of_the_Wild_Complete_Collection/?snr=1_7_7_globaltopsellers_150_8
181,Hollow Knight & Soundtracks,42.40,"好评如潮,159,451 篇用户的捆绑包游戏评测中有 97% 为好评。",https://store.steampowered.com/bundle/2828/Hollow_Knight__Soundtracks/?snr=1_7_7_globaltopsellers_150_8
182,Kingdom Come: Deliverance Royal Edition,39.44,"特别好评,64,610 篇用户的捆绑包游戏评测中有 80% 为好评。",https://store.steampowered.com/sub/368776/?snr=1_7_7_globaltopsellers_150_8
183,Grand Theft Auto IV: The Complete Edition,29.70,"多半好评,76,662 篇用户的游戏评测中有 74% 为好评。",https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV_The_Complete_Edition/?snr=1_7_7_globaltopsellers_150_8
184,Grand Theft Auto: Episodes from Liberty City, 68.00,"多半好评,7,677 篇用户的游戏评测中有 72% 为好评。",https://store.steampowered.com/app/12220/Grand_Theft_Auto_Episodes_from_Liberty_City/?snr=1_7_7_globaltopsellers_150_8
185,Dead Cells,48.00,"好评如潮,73,941 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_globaltopsellers_150_8
186,Insurgency: Sandstorm,81.34,"特别好评,63,017 篇用户的游戏评测中有 86% 为好评。",https://store.steampowered.com/app/581320/Insurgency_Sandstorm/?snr=1_7_7_globaltopsellers_150_8
187,Inscryption: Beginner's Deck,87.48,"好评如潮,22,026 篇用户的捆绑包游戏评测中有 95% 为好评。",https://store.steampowered.com/bundle/22859/Inscryption_Beginners_Deck/?snr=1_7_7_globaltopsellers_150_8
188,Hearts of Iron IV: Mobilization Pack,154.61,"特别好评,117,824 篇用户的捆绑包游戏评测中有 89% 为好评。",https://store.steampowered.com/bundle/5641/Hearts_of_Iron_IV_Mobilization_Pack/?snr=1_7_7_globaltopsellers_150_8
189,Factorio, 90.00,"好评如潮,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_globaltopsellers_150_8
190,《四海兄弟: 最终版》?,83.40,"特别好评,24,696 篇用户的游戏评测中有 86% 为好评。",https://store.steampowered.com/app/1030840/_/?snr=1_7_7_globaltopsellers_150_8
191,Red Dead Online,70.00,"特别好评,27,856 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/1404210/Red_Dead_Online/?snr=1_7_7_globaltopsellers_150_8
192,People Playground,18.00,"好评如潮,64,833 篇用户的游戏评测中有 98% 为好评。",https://store.steampowered.com/app/1118200/People_Playground/?snr=1_7_7_globaltopsellers_150_8
193,Farming Simulator 22, 209.00,暂无评价！,https://store.steampowered.com/app/1248130/Farming_Simulator_22/?snr=1_7_7_globaltopsellers_150_8
194,ULTRAKILL,56.00,"好评如潮,14,063 篇用户的游戏评测中有 99% 为好评。",https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_globaltopsellers_150_8
195,Golf With Your Friends,29.00,"特别好评,29,905 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_7_7_globaltopsellers_150_8
196,ASTRONEER,58.50,"特别好评,70,217 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_7_7_globaltopsellers_150_8
197,Grounded, 99.00,"特别好评,19,247 篇用户的游戏评测中有 88% 为好评。",https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_globaltopsellers_150_8
198,《光环 无限》(战役), 248.00,暂无评价！,https://store.steampowered.com/app/1708091/_/?snr=1_7_7_globaltopsellers_150_8
199,房产达人,42.00,"特别好评,44,146 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/613100/_/?snr=1_7_7_globaltopsellers_150_8
200,控制 - 终极合辑 / Control Ultimate Edition,79.20,"特别好评,19,562 篇用户的游戏评测中有 89% 为好评。",https://store.steampowered.com/app/870780/____Control_Ultimate_Edition/?snr=1_7_7_globaltopsellers_150_8
201,Euro Truck Simulator 2 Essentials,71.26,"好评如潮,370,530 篇用户的捆绑包游戏评测中有 97% 为好评。",https://store.steampowered.com/bundle/1923/Euro_Truck_Simulator_2_Essentials/?snr=1_7_7_globaltopsellers_150_9
202,Outlast Trinity,31.20,"特别好评,79,677 篇用户的捆绑包游戏评测中有 94% 为好评。",https://store.steampowered.com/bundle/5024/Outlast_Trinity/?snr=1_7_7_globaltopsellers_150_9
203,We Happy Few,24.80,"多半好评,7,293 篇用户的游戏评测中有 75% 为好评。",https://store.steampowered.com/app/320240/We_Happy_Few/?snr=1_7_7_globaltopsellers_150_9
204,破晓传奇, 328.00,"特别好评,11,138 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/740130/_/?snr=1_7_7_globaltopsellers_150_9
205,Spiritfarer?,54.00,"好评如潮,12,057 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/972660/Spiritfarer/?snr=1_7_7_globaltopsellers_150_9
206,《Resident Evil Village》 & 《Resident Evil 7》捆绑包,396.00,"特别好评,74,284 篇用户的捆绑包游戏评测中有 94% 为好评。",https://store.steampowered.com/sub/538741/?snr=1_7_7_globaltopsellers_150_9
207,绯红结系,213.20,"特别好评,5,904 篇用户的游戏评测中有 85% 为好评。",https://store.steampowered.com/app/775500/_/?snr=1_7_7_globaltopsellers_150_9
208,Mortal Kombat?11,34.50,"特别好评,39,893 篇用户的游戏评测中有 85% 为好评。",https://store.steampowered.com/app/976310/Mortal_Kombat11/?snr=1_7_7_globaltopsellers_150_9
209,Transport Fever 2,63.00,"特别好评,11,693 篇用户的游戏评测中有 86% 为好评。",https://store.steampowered.com/app/1066780/Transport_Fever_2/?snr=1_7_7_globaltopsellers_150_9
210,Resident Evil 7 Biohazard,46.86,"特别好评,34,761 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/?snr=1_7_7_globaltopsellers_150_9
211,Sekiro?: Shadows Die Twice - GOTY Edition, 268.00,"特别好评,108,172 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_globaltopsellers_150_9
212,Legion TD 2 - Multiplayer Tower Defense,56.00,"特别好评,4,715 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/469600/Legion_TD_2__Multiplayer_Tower_Defense/?snr=1_7_7_globaltopsellers_150_9
213,PAYDAY 2,7.80,"特别好评,343,908 篇用户的游戏评测中有 89% 为好评。",https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_globaltopsellers_150_9
214,Crusader Kings III Royal Edition,180.00,"特别好评,42,222 篇用户的捆绑包游戏评测中有 92% 为好评。",https://store.steampowered.com/sub/452685/?snr=1_7_7_globaltopsellers_150_9
215,Cities: Skylines - New Player Bundle,83.70,"特别好评,130,840 篇用户的捆绑包游戏评测中有 92% 为好评。",https://store.steampowered.com/bundle/15456/Cities_Skylines__New_Player_Bundle/?snr=1_7_7_globaltopsellers_150_9
216,They Are Billions,76.00,"特别好评,32,145 篇用户的游戏评测中有 85% 为好评。",https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_7_7_globaltopsellers_150_9
217,Pacific Northwest,75.64,"好评如潮,75,057 篇用户的捆绑包游戏评测中有 96% 为好评。",https://store.steampowered.com/bundle/15571/Pacific_Northwest/?snr=1_7_7_globaltopsellers_150_9
218,Scrap Mechanic,45.56,"特别好评,70,277 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/387990/Scrap_Mechanic/?snr=1_7_7_globaltopsellers_150_9
219,Black Mesa,27.20,"好评如潮,65,816 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/362890/Black_Mesa/?snr=1_7_7_globaltopsellers_150_9
220,Dead Cells: The Fatal Seed Bundle,70.72,"好评如潮,74,919 篇用户的捆绑包游戏评测中有 96% 为好评。",https://store.steampowered.com/bundle/18623/Dead_Cells_The_Fatal_Seed_Bundle/?snr=1_7_7_globaltopsellers_150_9
221,MechWarrior 5: Mercenaries,67.50,"特别好评,2,822 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/784080/MechWarrior_5_Mercenaries/?snr=1_7_7_globaltopsellers_150_9
222,命运2：凌光之刻赛季整合版,124.80,"多半差评,840 篇用户的游戏评测中有 33% 为好评。",https://store.steampowered.com/app/1314562/2/?snr=1_7_7_globaltopsellers_150_9
223,Warhammer: Vermintide 2,22.50,"特别好评,58,459 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_globaltopsellers_150_9
224,CODE VEIN,67.00,"特别好评,26,386 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_globaltopsellers_150_9
225,Potion Craft: Alchemist Simulator, 50.00,"特别好评,4,165 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/1210320/Potion_Craft_Alchemist_Simulator/?snr=1_7_7_globaltopsellers_150_9
226,PAYDAY 2: Legacy Collection,66.75,"特别好评,367,423 篇用户的捆绑包游戏评测中有 88% 为好评。",https://store.steampowered.com/bundle/3756/PAYDAY_2_Legacy_Collection/?snr=1_7_7_globaltopsellers_150_10
227,Plants vs. Zombies GOTY Edition,8.40,"好评如潮,57,573 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition/?snr=1_7_7_globaltopsellers_150_10
228,Beat Saber, 90.00,"好评如潮,51,478 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_globaltopsellers_150_10
229,God of War, 279.00,暂无评价！,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_globaltopsellers_150_10
230,NEKOPARA,82.08,"好评如潮,62,279 篇用户的捆绑包游戏评测中有 96% 为好评。",https://store.steampowered.com/bundle/676/NEKOPARA/?snr=1_7_7_globaltopsellers_150_10
231,神力科莎：竞速 Assetto Corsa Competizione,55.20,"特别好评,11,355 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/805550/_Assetto_Corsa_Competizione/?snr=1_7_7_globaltopsellers_150_10
232,The Elder Scrolls V: Skyrim Special Edition, 129.00,"特别好评,82,071 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_globaltopsellers_150_10
233,光明记忆, 39.00,"特别好评,26,624 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/955050/_/?snr=1_7_7_globaltopsellers_150_10
234,Subnautica,79.20,"好评如潮,162,348 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_globaltopsellers_150_10
235,EA Play, 38.00,暂无评价！,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_globaltopsellers_150_10
236,Among Us,16.50,"特别好评,512,982 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_globaltopsellers_150_10
237,Castle Crashers?,9.00,"好评如潮,62,251 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/204360/Castle_Crashers/?snr=1_7_7_globaltopsellers_150_10
238,Tabletop Simulator, 68.00,"好评如潮,28,751 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_globaltopsellers_150_10
239,Among Us,16.50,"特别好评,512,982 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_globaltopsellers_150_10
240,The Jackbox Party Pack 7,63.00,"好评如潮,2,229 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/1211630/The_Jackbox_Party_Pack_7/?snr=1_7_7_globaltopsellers_150_10
241,Half-Life: Alyx, 163.00,"好评如潮,53,179 篇用户的游戏评测中有 98% 为好评。",https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_globaltopsellers_150_10
242,Cities: Skylines,22.00,"特别好评,129,057 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_globaltopsellers_150_10
243,Rivals of Aether,45.00,"好评如潮,17,890 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/383980/Rivals_of_Aether/?snr=1_7_7_globaltopsellers_150_10
244,命运2：凌光之刻豪华版升级, 127.00,"褒贬不一,137 篇用户的游戏评测中有 48% 为好评。",https://store.steampowered.com/app/1438630/2/?snr=1_7_7_globaltopsellers_150_10
245,Pathfinder: Kingmaker - Imperial Edition Bundle,73.52,"多半好评,19,931 篇用户的捆绑包游戏评测中有 78% 为好评。",https://store.steampowered.com/bundle/11193/Pathfinder_Kingmaker__Imperial_Edition_Bundle/?snr=1_7_7_globaltopsellers_150_10
246,Death's Door,70.40,"特别好评,5,147 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/894020/Deaths_Door/?snr=1_7_7_globaltopsellers_150_10
247,Remnant: From the Ashes - Complete Edition,99.84,"特别好评,34,010 篇用户的捆绑包游戏评测中有 84% 为好评。",https://store.steampowered.com/bundle/15367/Remnant_From_the_Ashes__Complete_Edition/?snr=1_7_7_globaltopsellers_150_10
248,Library Of Ruina,120.00,"特别好评,9,335 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_globaltopsellers_150_10
249,Farming Simulator 19,31.20,"特别好评,46,162 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_7_7_globaltopsellers_150_10
250,雨中冒险 2, 80.00,"好评如潮,111,486 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/632360/_2/?snr=1_7_7_globaltopsellers_150_10
